"Bocah Muslim di Negri James Bond","Text","","","","","","","920 AHM b","Indonesia","","920","","","","<AHMAD, Imran.>","","<20091232>"
"Berpikir dan Berjiwa Besar","Text","","","Binarupa Aksara","2007","","","150 sch","Indonesia","","100","","","","<SCHWARTZ, David J.>","","<20140704>"
"Bundel Soal Fisika","Text","","","","","","","530 KMI","Indonesia","","500","","","","<KMI>","","<20100239><20090069>"
"Tahajud Berjamaah, Bid'ahkah?","Text","","","","","","","2x4.122 9 MUB t","Indonesia","","2x4.122 9","","","","<MUBARAK, Saiful Islam.>","","<20120255>"
"Sirkus Pohon","Text","Cet. 3","9786022914099","PT Bentang Pustaka","2018","410 hlm; 20,5cm","","813 HIR s","Indonesia","Yogyakarta","813","","","","<HIRATA, Andrea.>","<Sastra Indonesia>","<20180604>"
"HEROES","Text","Cet. 1","9786028811507","PT Bentang Pustaka","2011","","","920.03 AND h","Indonesia","Yogyakarta","920.03","","","","<Tim KICK ANDY>","<Motivasi>","<20180603>"
"People Development Handbook","Text","Cet. 1","9786026719164","Hasa Publishing","2018","","","658.31 KUS p","Indonesia","Demak","658.31","","","","<KUSWANDI, N><MAFAZI, David>","<Manajemen Personalia>","<20180605>"
"Agama dan Lingkungan Kultural di Indonesia","Text","Cet. 1","","Penerbit Hapsara","1983","","","297.65 NAK a","Indonesia","Surakarta","297.65","","","","<Nakamura, Mitsuo>","<Islam Indonesia>","<20180607><20180606>"
"Hayy bin Yaqdzon","Text","Cet. 1","9789793065540","Navila","2010","280 hlm","","2x6.71 THU h","Indonesia","Yogyakarta","2x6.71","","","","<THUFAIL, Abu Bakar Muhammad bin>","<Kesusastraan Islam>","<20180602>"
"Buku dalam Indonesia Baru","Text","Cet. 1","9794613258","Yayasan Obor Indonesia","1999","208hlm;21cm","","000.598 TAR b","Indonesia","Jakarta","000.598","","","","<TARYADI, Alfons>","<Karya Umum>","<20180601>"
"Islam Itu Mudah","Text","","9786027820852","PRO U MEDIA","2018","200 hlm","","2x5.1 SOM i","Indonesia","Yogyakarta","2x5.1","","","","<SOMAD, Abdul.>","<Fikih - Indonesia>","<20180595>"
"Public Relation in The Age of Disruption","Text","Cet. 1","9786024260927","PT Bentang Pustaka","2018","214 hlm; 20,5 cm","","000 LAK p","Indonesia","Yogyakarta","000","","","","<LAKSAMANA, Agung>","<Komunikasi>","<20180590>"
"Yuk, Berhijab!","Text","Cet. 6","9786024260927","Alfatih Press","2018","","","2x4.95 SIA y","Indonesia","Jakarta Barat","2x4.95","","","","<SIAUW, Felix Y.><ACHNI, Emeralda Noor>","<Fikih Wanita>","<20180578>"
"Free Writing","Text","Cet. 1","9786024260880","PT Bentang Pustaka","2017","216 hlm;20,5 cm","","808.2 HAS f","Indonesia","Yogyakarta","808.2","","","","<HASIM, Hernowo>","<kepenulisan>","<20180589>"
"Revolusi Mental Dalam Praktik Soft Skill","Text","Cet. 1","9786021775264","Media Peruahan","2015","276 hlm ; 23 cm","","378.1542 ZAM r","Indonesia","Bandung","378.1542","","","","<ZAMAN, Saeful><Tim Gibasa Consultant>","<Pendidikan - Alternatif>","<20180575>"
"Seksualitas di Indonesia","Text","","9786024335656","Yayasan Obor Indonesia","2018","460 hlm","","361.6598 BEN s","Indonesia","Jakarta","361.6598","","","","<BENNETT, Linda Rae><DAVIES, Sharyn Graham>","<Ilmu-ilmu Sosial>","<20180576>"
"Fiqh Prioritas","Text","Cet. 10","9789793304809","Robbani  Press","2014","382 hlm; 24 cm","","2x4 QAR f","Indonesia","Jakarta","2x4","","","","<QARADHAWI, Yusuf al.>","<Fiqih>","<20180579>"
"Dari Perbendaharaan Lama","Text","Cet. 1","9786022504191","Gema Insani Press","2017","244 hlm;23 cm","","2x9.6598 HAM d","Indonesia","Depok","2x9.6598","","","","<HAMKA>","<Sejarah Islam Indonesia>","<20180577>"
"Diskursus Alternatif Dalam Ilmu Sosial Asia","Text","","9786029686432","","","271 flm; 24cm","","300.5 ALA","Indonesia","","300.5 ALA","","","","<ALATAS, Syed Farid>","<Social Science/Ilmu-ilmu Sosial>","<20180582>"
"The Jungle Book","Text","Cet. 1","618125016","PT Gramedia Pustaka Utama","2018","216 pgs; 18 cm","","823 KIP t","English","Jakarta","823","","","","<KIPLING, Rudyard.>","<Sastra Inggris>","<20180566>"
"Antara Fakta dan Khayal Tuanku Rao","Text","Cet. 2","9786020822709","Republika Penerbit","2018","156 hlm","","922.97","Indonesia","Jakarta","922.97","","","","<HAMKA>","<Sejarah Indonesia>","<20180581>"
"Bahasa Indonesia bagi Penutur Asing","Text","Cet. 1","9786024335137","Yayasan Obor Indonesia","2017","190 hlm","","371.3","Indonesia","Jakarta","371.3","","","","<MULIASTUTI, Liliana>","<Tata Bahasa Indonesia>","<20180588>"
"This Religion of Islam","Text","","","Almanar Press","1967","104 hlm","","R 2X0 QUT","Indonesia","USA","2X0","","","","<QUTB, Sayyid.>","","<20160215>"
"Street Kid","Text","","","","","","","823 WES s","Indonesia","","823","","images_(22).jpg","","<WESTMATER, Judy.>","","<20110203>"
"Dari Buku ke Buku; Sambung Menyambung Menjadi Satu","Text","Cet. 4","9786026208231","Kepustakaan populer gramedia","2017","xxiv + 472 hlm; 21 cm","","028.1 SWA b","Indonesia","Jakarta","028.1","","whatsapp-image-2018-05-10-at-17-34-49-e1525950135184.jpeg.jpeg","","<SWANTORO, P>","<buku>","<20180554>"
"Muslim tanpa Masjid: mencari metode aplikasi nilai nilai al Qur'an masa kini","Text","Cet. 1","9786027696532","IRCiSod","2018","vii + 452 hlm; 20 cm","","2x0.01 KUN m","Indonesia","Yogyakarya","2x0.01","","","","<KUNTOWIJOYO>","<Islam dan Ilmu>","<20180560>"
"Delapan Golongan yang Dicintai Allah dan Enam Golongan yang Dibenci Allah","Text","Cet. 1","9786021337530","Mizania","2015","123 hlm; 20 cm","","2x5.5 IQB d","Indonesia","Bandung","2x5.5","","8-Golongan-yang-Dicintai-Allah-dan-6-Golongan-yang-DIbenci-Allah.jpg.jpg","","<IQBAL, Muhammad.>","<Ibadah>","<20180573>"
"Mendidik Anak Pra-aqil Baligh: panduan mendidik anak pra-aqil baligh (7-10 tahun)","Text","Cet. 1","9786020477879","Elex Media Computindo","2018","221 hlm; 21 cm","","2X7.31 AYN m","Indonesia","Jakarta","2X7.31","","ID_MAP2018MTH08MAP.jpg.jpg","","<AYNUN, Nur>","<Pendidikan anak>","<20180558>"
